PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,MONTH
0.00,0.00,0.00,0.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1
0.00,0.00,0.00,0.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,1
0.00,0.00,0.00,0.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,15618,1561801,32575,VNY,"Van Nuys, CA",CA,06,California,91,15618,1561801,32575,VNY,"Van Nuys, CA",CA,06,California,91,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,11982,1198202,31982,GRK,"Killeen, TX",TX,48,Texas,74,11982,1198202,31982,GRK,"Killeen, TX",TX,48,Texas,74,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,13296,1329605,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,13296,1329605,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,13360,1336004,33360,MLB,"Melbourne, FL",FL,12,Florida,33,13360,1336004,33360,MLB,"Melbourne, FL",FL,12,Florida,33,1
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1
0.00,0.00,0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,1
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,1
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,11413,1141307,30285,DRO,"Durango, CO",CO,08,Colorado,82,11413,1141307,30285,DRO,"Durango, CO",CO,08,Colorado,82,1
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,1
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,13029,1302902,33029,LNK,"Lincoln, NE",NE,31,Nebraska,65,13029,1302902,33029,LNK,"Lincoln, NE",NE,31,Nebraska,65,1
0.00,0.00,0.00,0.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,11066,1106606,31066,CMH,"Columbus, OH",OH,39,Ohio,44,11066,1106606,31066,CMH,"Columbus, OH",OH,39,Ohio,44,1
0.00,0.00,0.00,0.00,K3,20383,Venture Travel LLC d/b/a Taquan Air Service,06968,15741,1574101,31401,WFB,"Ketchikan, AK",AK,02,Alaska,1,15741,1574101,31401,WFB,"Ketchikan, AK",AK,02,Alaska,1,1
0.00,0.00,0.00,0.00,KAH,20272,Kenmore Air Harbor,06927,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,1
0.00,0.00,0.00,0.00,KD,21629,Western Global,11042,14814,1481403,30476,SHV,"Shreveport, LA",LA,22,Louisiana,72,14814,1481403,30476,SHV,"Shreveport, LA",LA,22,Louisiana,72,1
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,11027,1102705,31027,CKB,"Clarksburg/Fairmont, WV",WV,54,West Virginia,39,11027,1102705,31027,CKB,"Clarksburg/Fairmont, WV",WV,54,West Virginia,39,1
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,13461,1346101,33461,MQY,"Smyrna, TN",TN,47,Tennessee,54,13461,1346101,33461,MQY,"Smyrna, TN",TN,47,Tennessee,54,1
0.00,0.00,0.00,0.00,X9,20377,Omni Air International LLC,06738,10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
0.00,0.00,0.00,0.00,X9,20377,Omni Air International LLC,16736,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1
0.00,0.00,0.00,8.00,2E,20319,Smokey Bay Air Inc.,06971,14088,1408804,34088,PGM,"Port Graham, AK",AK,02,Alaska,1,14942,1494205,34942,SOV,"Seldovia, AK",AK,02,Alaska,1,1
0.00,0.00,0.00,8.00,2E,20319,Smokey Bay Air Inc.,06971,14942,1494205,34942,SOV,"Seldovia, AK",AK,02,Alaska,1,14088,1408804,34088,PGM,"Port Graham, AK",AK,02,Alaska,1,1
0.00,0.00,0.00,8.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1
0.00,0.00,0.00,9.00,KAH,20272,Kenmore Air Harbor,06927,12652,1265201,30559,KEH,"Kenmore, WA",WA,53,Washington,93,13002,1300201,30559,LKE,"Seattle, WA",WA,53,Washington,93,1
0.00,0.00,0.00,9.00,KAH,20272,Kenmore Air Harbor,06927,13002,1300201,30559,LKE,"Seattle, WA",WA,53,Washington,93,12652,1265201,30559,KEH,"Kenmore, WA",WA,53,Washington,93,1
0.00,0.00,0.00,10.00,2E,20319,Smokey Bay Air Inc.,06971,12649,1264902,32649,KEB,"Nanwalek, AK",AK,02,Alaska,1,14942,1494205,34942,SOV,"Seldovia, AK",AK,02,Alaska,1,1
0.00,0.00,0.00,11.00,UA,19977,United Air Lines Inc.,10876,13796,1379609,32457,OAK,"Oakland, CA",CA,06,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1
0.00,0.00,0.00,12.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1
0.00,0.00,0.00,12.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,13461,1346101,33461,MQY,"Smyrna, TN",TN,47,Tennessee,54,1
0.00,0.00,0.00,12.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,13461,1346101,33461,MQY,"Smyrna, TN",TN,47,Tennessee,54,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,1
0.00,0.00,0.00,13.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,12278,1227805,30928,ICT,"Wichita, KS",KS,20,Kansas,62,15664,1566401,30928,VWS,"Wichita, KS",KS,20,Kansas,62,1
0.00,0.00,0.00,13.00,KAH,20272,Kenmore Air Harbor,06927,13055,1305502,33055,LPS,"Lopez Island, WA",WA,53,Washington,93,15856,1585601,35856,WSX,"Westsound, WA",WA,53,Washington,93,1
0.00,0.00,0.00,14.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,1
0.00,0.00,0.00,14.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,1
0.00,0.00,0.00,14.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37,16876,1687601,30994,SC6,"Charleston, SC",SC,45,South Carolina,37,1
0.00,0.00,0.00,14.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,1
0.00,0.00,0.00,14.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,1
0.00,0.00,0.00,17.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",01130,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,12954,1295407,32575,LGB,"Long Beach, CA",CA,06,California,91,1
0.00,0.00,0.00,17.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,12954,1295407,32575,LGB,"Long Beach, CA",CA,06,California,91,1
0.00,0.00,0.00,19.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,13398,1339802,33398,MMU,"Morristown, NJ",NJ,34,New Jersey,21,1
0.00,0.00,0.00,19.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,15618,1561801,32575,VNY,"Van Nuys, CA",CA,06,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1
0.00,0.00,0.00,19.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,10933,1093302,30933,CEF,"Chicopee Falls, MA",MA,25,Massachusetts,13,10529,1052907,30529,BDL,"Hartford, CT",CT,09,Connecticut,11,1
