BETWEENNESS_CENTRALITY_SCORE,AIRPORT,CITY_NAME
228295.0,"{'LGB', 'HHR', 'VNY', 'SNA', 'ONT', 'BUR', 'LAX'}","{'Hawthorne, CA', 'Santa Ana, CA', 'Ontario, CA', 'Los Angeles, CA', 'Van Nuys, CA', 'Burbank, CA', 'Long Beach, CA'}"
214298.0,"{'LKE', 'SEA', 'BFI', 'KEH'}","{'Kenmore, WA', 'Seattle, WA'}"
165949.0,"{'MRI', 'ANC'}","{'Anchorage, AK'}"
120874.0,"{'SWF', 'JFK', 'HPN', 'LGA', 'ISP', 'EWR'}","{'Newburgh/Poughkeepsie, NY', 'Newark, NJ', 'New York, NY', 'Islip, NY', 'White Plains, NY'}"
77719.0,"{'FTW', 'DFW', 'ADS', 'DAL'}","{'Dallas, TX', 'Dallas/Fort Worth, TX'}"
75270.0,"{'APA', 'DEN'}","{'Denver, CO'}"
71134.0,"{'FTY', 'ATL', 'PDK'}","{'Atlanta, GA'}"
53878.0,{'BET'},"{'Bethel, AK'}"
47471.0,"{'PWK', 'ORD', 'GYY', 'MDW'}","{'Gary, IN', 'Chicago, IL'}"
40707.0,"{'FAI', 'MTX'}","{'Fairbanks, AK'}"
33787.0,"{'SCF', 'AZA', 'PHX'}","{'Phoenix, AZ'}"
29653.0,{'CLT'},"{'Charlotte, NC'}"
24214.0,"{'FLL', 'MIA', 'OPF', 'FXE', 'MPB'}","{'Miami, FL', 'Fort Lauderdale, FL'}"
22236.0,{'OME'},"{'Nome, AK'}"
20934.0,{'MSP'},"{'Minneapolis, MN'}"
19633.0,"{'BOS', 'MHT', 'PVD'}","{'Boston, MA', 'Manchester, NH', 'Providence, RI'}"
19597.0,{'HNL'},"{'Honolulu, HI'}"
15756.0,{'OTZ'},"{'Kotzebue, AK'}"
15107.0,{'JNU'},"{'Juneau, AK'}"
14412.0,"{'MTN', 'IAD', 'BWI', 'DCA'}","{'Baltimore, MD', 'Washington, DC'}"
13150.0,{'SLC'},"{'Salt Lake City, UT'}"
12331.0,"{'CCR', 'OAK', 'SJC', 'SFO'}","{'San Jose, CA', 'Concord, CA', 'Oakland, CA', 'San Francisco, CA'}"
10975.0,"{'MCO', 'ORL'}","{'Orlando, FL'}"
10537.0,{'DLG'},"{'Dillingham, AK'}"
10522.0,{'AKN'},"{'King Salmon, AK'}"
9884.0,"{'YIP', 'DTW'}","{'Detroit, MI'}"
9250.0,"{'HOU', 'IAH'}","{'Houston, TX'}"
9081.0,"{'LAS', 'HSH', 'VGT'}","{'Las Vegas, NV'}"
6774.0,{'GRR'},"{'Grand Rapids, MI'}"
6600.0,{'BIL'},"{'Billings, MT'}"
6598.0,{'DUT'},"{'Unalaska, AK'}"
6593.0,"{'WFB', 'KTN'}","{'Ketchikan, AK'}"
5945.0,"{'SJU', 'SIG'}","{'San Juan, PR'}"
5935.0,"{'TN8', 'BNA'}","{'Nashville, TN'}"
5294.0,"{'PHL', 'PNE'}","{'Philadelphia, PA'}"
5287.0,"{'PIT', 'AGC'}","{'Pittsburgh, PA'}"
5284.0,{'BRW'},"{'Barrow, AK'}"
5273.0,"{'STL', 'SUS', 'CPS'}","{'St. Louis, MO'}"
3966.0,{'HOM'},"{'Homer, AK'}"
3965.0,{'TEB'},"{'Teterboro, NJ'}"
3960.0,{'PGA'},"{'Page, AZ'}"
3960.0,{'GUM'},"{'Guam, TT'}"
3934.0,{'PGD'},"{'Punta Gorda, FL'}"
3907.0,"{'PIE', 'TPA'}","{'St. Petersburg, FL', 'Tampa, FL'}"
3339.0,{'SFB'},"{'Sanford, FL'}"
3311.0,{'EMK'},"{'Emmonak, AK'}"
3311.0,{'ILI'},"{'Iliamna, AK'}"
3302.0,{'BZN'},"{'Bozeman, MT'}"
3301.0,{'ABQ'},"{'Albuquerque, NM'}"
2897.0,{'TYS'},"{'Knoxville, TN'}"
2663.0,{'RDU'},"{'Raleigh/Durham, NC'}"
2657.0,{'FRG'},"{'East Farmingdale, NY'}"
2646.0,{'OGG'},"{'Kahului, HI'}"
2646.0,{'SPN'},"{'Saipan, TT'}"
2646.0,{'CDB'},"{'Cold Bay, AK'}"
2646.0,{'BLD'},"{'Boulder City, NV'}"
2646.0,{'ACK'},"{'Nantucket, MA'}"
2646.0,{'JAX'},"{'Jacksonville, FL'}"
2646.0,{'GAL'},"{'Galena, AK'}"
2645.0,{'ANI'},"{'Aniak, AK'}"
2644.0,{'SBA'},"{'Santa Barbara, CA'}"
1991.0,{'SIT'},"{'Sitka, AK'}"
1985.0,{'BUF'},"{'Buffalo, NY'}"
1981.0,{'TKJ'},"{'Tok, AK'}"
1971.0,{'HSL'},"{'Huslia, AK'}"
1324.0,{'RNO'},"{'Reno, NV'}"
1324.0,{'MKK'},"{'Hoolehua, HI'}"
1324.0,{'CPX'},"{'Culebra, PR'}"
1324.0,{'SQL'},"{'San Carlos, CA'}"
1324.0,"{'BAD', 'SHV'}","{'Shreveport, LA'}"
1324.0,{'GPT'},"{'Gulfport/Biloxi, MS'}"
1324.0,{'MFR'},"{'Medford, OR'}"
1324.0,{'EYW'},"{'Key West, FL'}"
1324.0,{'LEX'},"{'Lexington, KY'}"
1324.0,"{'CMH', 'LCK'}","{'Columbus, OH'}"
1324.0,{'RSW'},"{'Fort Myers, FL'}"
1324.0,"{'SDM', 'SAN'}","{'San Diego, CA'}"
1324.0,{'PDX'},"{'Portland, OR'}"
1324.0,{'ENA'},"{'Kenai, AK'}"
1324.0,{'PVC'},"{'Provincetown, MA'}"
1324.0,{'EWN'},"{'New Bern/Morehead/Beaufort, NC'}"
1324.0,{'PAE'},"{'Everett, WA'}"
1324.0,{'7AK'},"{'Akun, AK'}"
1323.0,{'MMH'},"{'Mammoth Lakes, CA'}"
1318.0,{'BED'},"{'Bedford, MA'}"
1315.0,{'RIL'},"{'Rifle, CO'}"
1304.0,{'ALB'},"{'Albany, NY'}"
668.0,{'RDM'},"{'Bend/Redmond, OR'}"
668.0,{'LNS'},"{'Lancaster, PA'}"
668.0,"{'BQK', 'SSI'}","{'Brunswick, GA'}"
667.0,{'MVY'},"{""Martha's Vineyard, MA""}"
667.0,{'BJC'},"{'Broomfield, CO'}"
667.0,{'SAD'},"{'Safford, AZ'}"
667.0,{'BTR'},"{'Baton Rouge, LA'}"
667.0,{'GKN'},"{'Gulkana, AK'}"
667.0,{'LAN'},"{'Lansing, MI'}"
667.0,{'CKB'},"{'Clarksburg/Fairmont, WV'}"
667.0,{'MCG'},"{'McGrath, AK'}"
667.0,{'AUS'},"{'Austin, TX'}"
658.0,{'SRQ'},"{'Sarasota/Bradenton, FL'}"
658.0,{'COS'},"{'Colorado Springs, CO'}"
658.0,{'RIC'},"{'Richmond, VA'}"
658.0,{'MNT'},"{'Minto, AK'}"
658.0,{'MMU'},"{'Morristown, NJ'}"
657.0,"{'XNA', 'FYV'}","{'Fayetteville, AR'}"
657.0,{'CFT'},"{'Clifton, AZ'}"
657.0,{'TEK'},"{'Tatitlek, AK'}"
657.0,{'MSY'},"{'New Orleans, LA'}"
657.0,{'CHO'},"{'Charlottesville, VA'}"
656.0,{'SCM'},"{'Scammon Bay, AK'}"
6.0,{'NUL'},"{'Nulato, AK'}"
0.0,{'PIP'},"{'Pilot Point, AK'}"
0.0,{'PIH'},"{'Pocatello, ID'}"
0.0,{'YUM'},"{'Yuma, AZ'}"
0.0,{'NUI'},"{'Nuiqsut, AK'}"
0.0,{'PIR'},"{'Pierre, SD'}"
0.0,{'NUP'},"{'Nunapitchuk, AK'}"
0.0,{'PIB'},"{'Hattiesburg/Laurel, MS'}"
0.0,{'PIA'},"{'Peoria, IL'}"
0.0,{'PHO'},"{'Point Hope, AK'}"
0.0,{'PIZ'},"{'Point Lay, AK'}"
0.0,{'PGV'},"{'Greenville, NC'}"
0.0,{'PGM'},"{'Port Graham, AK'}"
0.0,{'NUQ'},"{'Mountain View, CA'}"
0.0,{'OBU'},"{'Kobuk, AK'}"
0.0,{'PEC'},"{'Pelican, AK'}"
0.0,{'PAH'},"{'Paducah, KY'}"
0.0,{'ORV'},"{'Noorvik, AK'}"
0.0,{'OTH'},"{'North Bend/Coos Bay, OR'}"
0.0,{'OOK'},"{'Toksook, AK'}"
0.0,{'OWB'},"{'Owensboro, KY'}"
0.0,{'JRV'},"{'Ceiba, PR'}"
0.0,{'OXC'},"{'Waterbury, CT'}"
0.0,{'OLF'},"{'Wolf Point, MT'}"
0.0,{'OAJ'},"{'Jacksonville/Camp Lejeune, NC'}"
0.0,{'ORH'},"{'Worcester, MA'}"
0.0,{'PAQ'},"{'Palmer, AK'}"
0.0,{'OKC'},"{'Oklahoma City, OK'}"
0.0,{'RDD'},"{'Redding, CA'}"
0.0,{'PBG'},"{'Plattsburgh, NY'}"
0.0,{'OGS'},"{'Ogdensburg, NY'}"
0.0,{'PBI'},"{'West Palm Beach/Palm Beach, FL'}"
0.0,{'PDB'},"{'Pedro Bay, AK'}"
0.0,{'PDT'},"{'Pendleton, OR'}"
0.0,{'MSO'},"{'Missoula, MT'}"
0.0,{'NPT'},"{'Newport, RI'}"
0.0,{'MCN'},"{'Macon, GA'}"
0.0,"{'CVG', 'LUK'}","{'Cincinnati, OH'}"
0.0,{'LUP'},"{'Kalaupapa, HI'}"
0.0,{'LUR'},"{'Cape Lisburne, AK'}"
0.0,{'LVK'},"{'Livermore, CA'}"
0.0,{'LWB'},"{'Lewisburg, WV'}"
